Legacy	Shock	Treatment	Time	Sample	Nitrobacter	Nitrospira	AOB	Bacteria	Archaea	AOA	NEA	AO_Ratio	NO_Ratio	AO_Sum	NO_Sum
Control	Heat	Control.Heat	42	A.14.2	5.774516966	6.257678575	7.869399243	9.456751983	7.504073081	6.563166451	0.153020846	0.04940458	0.328729282	77685899.45	2405000
Control	Heat	Control.Heat	42	A.14.3			6.814855246	8.317067586		5.027734784	0.36308294	0.01632599		6635723.455	
Control	Cold	Control.Cold	42	B.14.1	5.434568904	5.574031268	8.5260325	9.678663745	7.857908383	6.430521098	0.201002446	0.008025805	0.725333333	338457506.1	647000
Control	Cold	Control.Cold	42	B.14.2	6.176091259	6.265211028	9.932652298	9.759224551	8.064271936	6.130875241		0.000157842	0.814479638	8564871329	3341666.667
Control	Cold	Control.Cold	42	B.14.3	5.649334859	5.556302501	9.037887878	9.542493123	7.727634395	5.313566142		0.000188659	1.238888889	1091364451	806000
Control	Control	Control.Control	42	C.14.1	6.412180448	6.495081584	8.883599615	9.456956711	8.271081216	6.434079612	0.078263653	0.003552058	0.826226013	767608050	5710000
Control	Control	Control.Control	42	C.14.2	6.469822016	6.786278077	9.254682191	9.455508904	8.17150303	6.77218363	0.244684223	0.003292315	0.482551799	1803473132	9063333.333
Control	Control	Control.Control	42	C.14.3	6.110028244	6.514104821	8.698360279	9.555378601	8.049568712	6.989293707	0.178445326	0.019540399	0.394387755	509055012.1	4555000
Legacy	Cold	Legacy.Cold	42	D.14.1	6.274927193	6.054357662	8.986703895	9.564941886	7.895245121	6.57809039	0.030611206	0.003902892	1.661764706	973633706.7	3016666.667
Legacy	Cold	Legacy.Cold	42	D.14.2	6.102662342	5.822821645	8.252454512	9.032680759	7.941765157	6.471554844	0.03689644	0.016561525	1.904761905	181797614.6	1931666.667
Legacy	Cold	Legacy.Cold	42	D.14.3	6.166331422	6.361727836	8.297648452	9.140843559	7.820644337	6.528978674	0.144893451	0.017034533	0.637681159	201829270.8	3766666.667
Legacy	Control	Legacy.Control	42	E.14.1	6.096910013	5.798880735	8.409312515	9.417024152	8.13884259	6.675022389	0.080980185	0.018437833	1.986228814	261364764.9	1879333.333
Legacy	Control	Legacy.Control	42	E.14.2	6.079181246	6.088254248	8.184119697	9.352387096	8.342836219	6.543316356	0.126037375	0.02286634	0.979325354	156292660.7	2425333.333
Legacy	Control	Legacy.Control	42	E.14.3	5.681241237	5.966298207	8.104279439	9.406882536	8.179904607	6.630417946	0.129221136	0.033584471	0.518731988	131409091.9	1405333.333
Legacy	Heat	Legacy.Heat	42	F.14.1	6.074633618	6.537819095	6.110191545	9.566147515	8.118458898	6.13196017	0.247167359	1.051401579	0.344202899	2643882.989	4637500
Legacy	Heat	Legacy.Heat	42	F.14.2	5.611457766	6.632457292	5.637354033	9.599562962	7.783826019	6.208456122	0.089638606	3.724792544	0.09527972	2049919.359	4698750
Legacy	Heat	Legacy.Heat	42	F.14.3	6.200485698	6.790519728	6.19381527	9.677001336	8.164754009	6.670316717		2.995721573	0.257019438	6243246.586	7760000
Control	Heat	Control.Heat	49	A.15.1			7.161327375	9.3210611		4.965461007	0.297028001	0.006369915		14590998.75	
Control	Heat	Control.Heat	49	A.15.2	6.077367905	6.385606274	8.965945246	9.429373281	7.583899492	6.364348879	0.269760717	0.00250267	0.491769547	926895521.3	3625000
Control	Heat	Control.Heat	49	A.15.3	5.575187845	6.049218023	8.236253707	9.544806912	7.994190586	5.664950212	0.166185602	0.002683469	0.335714286	172749803.4	1496000
Control	Cold	Control.Cold	49	B.15.1	5.994756945	6.030262301	9.132926441	9.536984597	8.243633189	6.075200368	0.198932027	0.000875536	0.921498523	1359272452	2060166.667
Control	Cold	Control.Cold	49	B.15.2	5.88422877	6.203667357	9.676221494	9.89378989	8.221427706	6.015405829	0.184686477	0.000218366	0.479249218	4745875253	2364333.333
Control	Cold	Control.Cold	49	B.15.3	6.098297536	6.46834733	9.947039362	9.405132045	8.249990526	5.916509233	0.106192294	9.32116E-05	0.426530612	8852783459	4194000
Control	Control	Control.Control	49	C.15.1	6.400825697	6.562689299	8.648935576	9.737570581	8.147128218	6.446598629	0.217557038	0.006275713	0.688868613	448386539.3	6170000
Control	Control	Control.Control	49	C.15.2	6.474701781	6.828230115	9.02669287	9.609845085	7.993618754	6.586779167	0.15138036	0.003631502	0.443069307	1067252436	9716666.667
Control	Control	Control.Control	49	C.15.3	6.348953548	6.446122764		9.684349211	8.034534063	5.303347086	0.206400611		0.799522673		5026666.667
Legacy	Cold	Legacy.Cold	49	D.15.1	5.059121452	5.325652471	6.894105964	8.895041136	7.552370761	5.83201962	0.04901533	0.086678953	0.541338583	8515442.486	326250
Legacy	Cold	Legacy.Cold	49	D.15.2	5.837272703	4.247154615	7.674029734	8.982948747	7.554359312	6.170123639	0.100107948	0.031339633	38.91509434	48689065.73	705166.6667
Legacy	Cold	Legacy.Cold	49	D.15.3	5.891630365	5.091666958	8.086156187	9.27597638	7.626881156	6.387233716	0.136626483	0.020002189	6.309041835	124381929.9	902666.6667
Legacy	Control	Legacy.Control	49	E.15.1	4.979244778	5.58130477	7.642126587	9.352647701	7.602351474	6.390449555	0.24444074	0.056017403	0.25	46323105	476666.6667
Legacy	Control	Legacy.Control	49	E.15.2	5.53571597	5.947760382	7.481562004	9.27264191	8.19783896	5.706485496	0.202360162	0.016785083	0.387218045	30817057.63	1230000
Legacy	Control	Legacy.Control	49	E.15.3	5.56427143	6.035029282	7.968011414	9.408127649	8.099002105	5.840386629	0.18530549	0.007453757	0.338253383	93591527.44	1450666.667
Legacy	Heat	Legacy.Heat	49	F.15.1	5.761551989	6.42894429	5.487358603	9.516357629	7.89259372		0.523993332		0.215083799	307156.7167	
Legacy	Heat	Legacy.Heat	49	F.15.2	5.568201724	6.349277527	5.470022141	9.409039849	7.223807941		0.135872852		0.165548098	295136.969	
Legacy	Heat	Legacy.Heat	49	F.15.3	6.101231387	6.343408594	6.740702498	9.43654311	7.749749489	5.975152775	0.356392133	0.171573526	0.572562358	6448698.132	3467500
